Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Datetime,,,,,
2026-02-13 00:45:00+00:00,67920.0,67940.0,67890.0,67890.0,2400
2026-02-13 00:46:00+00:00,67890.0,67910.0,67880.0,67890.0,1100
2026-02-13 00:47:00+00:00,67910.0,67930.0,67860.0,67910.0,3300
2026-02-13 00:48:00+00:00,67970.0,67970.0,67860.0,67890.0,3700
2026-02-13 00:49:00+00:00,68010.0,68010.0,67930.0,67980.0,3900
2026-02-13 00:50:00+00:00,67970.0,68050.0,67970.0,68000.0,2500
2026-02-13 00:51:00+00:00,67910.0,67960.0,67910.0,67960.0,1700
2026-02-13 00:52:00+00:00,67870.0,67930.0,67850.0,67920.0,4300
2026-02-13 00:53:00+00:00,67790.0,67880.0,67780.0,67880.0,4000
2026-02-13 00:54:00+00:00,67790.0,67840.0,67780.0,67810.0,2100
2026-02-13 00:55:00+00:00,67690.0,67770.0,67660.0,67770.0,1400
2026-02-13 00:56:00+00:00,67820.0,67820.0,67690.0,67690.0,5000
2026-02-13 00:57:00+00:00,67830.0,67830.0,67740.0,67830.0,900
2026-02-13 00:58:00+00:00,67810.0,67860.0,67810.0,67860.0,1000
2026-02-13 00:59:00+00:00,67820.0,67830.0,67800.0,67810.0,1400
2026-02-13 01:00:00+00:00,67850.0,67890.0,67770.0,67830.0,3100
2026-02-13 01:01:00+00:00,67820.0,67850.0,67820.0,67840.0,2400
2026-02-13 01:02:00+00:00,67840.0,67870.0,67840.0,67840.0,300
2026-02-13 01:03:00+00:00,67840.0,67890.0,67830.0,67890.0,1000
2026-02-13 01:04:00+00:00,67850.0,67850.0,67820.0,67840.0,1600
2026-02-13 01:05:00+00:00,67950.0,67950.0,67850.0,67860.0,2400
2026-02-13 01:06:00+00:00,68160.0,68180.0,67960.0,67960.0,5200
2026-02-13 01:07:00+00:00,68300.0,68300.0,68150.0,68190.0,6300
